Series Description,Federal funds effective rate,"Average majority prime rate charged by banks   on short-term loans to business,   quoted on an investment basis",The rate charged for primary credit under   amendment to the Board's Regulation A
Unit:,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year
Multiplier:,1,1,1
Currency:,NA,NA,NA
Unique Identifier: ,H15/H15/RIFSPFF_N.WW,H15/H15/RIFSPBLP_N.WW,H15/H15/RIFSRP_F02_N.WW
Time Period,RIFSPFF_N.WW,RIFSPBLP_N.WW,RIFSRP_F02_N.WW
1980-01-02,14.04,15.25,
1980-01-09,13.94,15.25,
1980-01-16,13.91,15.25,
1980-01-23,13.77,15.25,
1980-01-30,13.54,15.25,
1980-02-06,12.8,15.25,
1980-02-13,13.64,15.25,
1980-02-20,14.87,15.39,
1980-02-27,14.62,16.29,
1980-03-05,16.17,16.84,
1980-03-12,16.45,17.68,
1980-03-19,16.24,18.46,
1980-03-26,17.78,19,
1980-04-02,19.39,19.5,
1980-04-09,19.04,20,
1980-04-16,18.35,20,
1980-04-23,17.56,19.57,
1980-04-30,15.12,19.5,
1980-05-07,12.96,18.39,
1980-05-14,10.85,17.5,
1980-05-21,10.71,16.64,
1980-05-28,9.46,14.79,
1980-06-04,10.74,14.07,
1980-06-11,9.68,13.14,
1980-06-18,8.99,12.36,
1980-06-25,9.08,12.04,
1980-07-02,9.41,12,
1980-07-09,9.26,11.79,
1980-07-16,8.98,11.5,
1980-07-23,8.68,11.5,
1980-07-30,8.98,11.07,
1980-08-06,9.6,11,
1980-08-13,8.85,11,
1980-08-20,9.35,11,
1980-08-27,10.03,11.25,
1980-09-03,10.47,11.5,
1980-09-10,10.22,11.71,
1980-09-17,10.64,12.21,
1980-09-24,10.85,12.46,
1980-10-01,12.38,13,
1980-10-08,12.59,13.5,
1980-10-15,12.64,13.5,
1980-10-22,12.55,13.93,
1980-10-29,13.17,14.07,
1980-11-05,13.99,14.5,
1980-11-12,14.65,15.5,
1980-11-19,15.22,15.82,
1980-11-26,17.43,17,
1980-12-03,17.72,17.96,
1980-12-10,18.82,19.07,
1980-12-17,19.83,20.29,
1980-12-24,19.44,21.43,
1980-12-31,18.45,21.5,
1981-01-07,20.06,20.64,
1981-01-14,19.64,20.07,
1981-01-21,19.35,20,
1981-01-28,18.12,20,
1981-02-04,17.19,19.86,
1981-02-11,16.51,19.5,
1981-02-18,15.81,19.5,
1981-02-25,14.96,19.29,
1981-03-04,15.73,19,
1981-03-11,15.53,18.71,
1981-03-18,14.13,17.86,
1981-03-25,13.48,17.5,
1981-04-01,14.93,17.5,
1981-04-08,15.43,17,
1981-04-15,15.33,17,
1981-04-22,15.55,17,
1981-04-29,16.28,17.43,
1981-05-06,18.91,18.43,
1981-05-13,18.21,19.21,
1981-05-20,18.89,19.64,
1981-05-27,18.71,20.43,
1981-06-03,18.4,20.43,
1981-06-10,19.33,20,
1981-06-17,19.1,20,
1981-06-24,19.2,20,
1981-07-01,18.84,20,
1981-07-08,19.93,20.07,
1981-07-15,18.76,20.5,
1981-07-22,19.05,20.5,
1981-07-29,18.54,20.5,
1981-08-05,18.25,20.5,
1981-08-12,18.29,20.5,
1981-08-19,18.19,20.5,
1981-08-26,17.41,20.5,
1981-09-02,16.89,20.5,
1981-09-09,16.5,20.5,
1981-09-16,16.09,20.36,
1981-09-23,15.33,19.86,
1981-09-30,15,19.5,
1981-10-07,15.46,19.29,
1981-10-14,14.93,18.71,
1981-10-21,15.32,18,
1981-10-28,14.87,18,
1981-11-04,14.79,17.86,
1981-11-11,14.01,17.29,
1981-11-18,13.17,16.93,
1981-11-25,12.42,16.39,
1981-12-02,12.48,15.93,
1981-12-09,12.04,15.75,
1981-12-16,12.26,15.75,
1981-12-23,12.43,15.75,
1981-12-30,12.54,15.75,
1982-01-06,12.98,15.75,
1982-01-13,12.42,15.75,
1982-01-20,12.96,15.75,
1982-01-27,13.98,15.75,
1982-02-03,14.77,15.96,
1982-02-10,15.19,16.5,
1982-02-17,15.61,16.5,
1982-02-24,13.86,16.86,
1982-03-03,14.07,16.5,
1982-03-10,14.35,16.5,
1982-03-17,14.89,16.5,
1982-03-24,14.48,16.5,
1982-03-31,14.99,16.5,
1982-04-07,15.15,16.5,
1982-04-14,14.68,16.5,
1982-04-21,15.01,16.5,
1982-04-28,14.72,16.5,
1982-05-05,15.53,16.5,
1982-05-12,14.97,16.5,
1982-05-19,14.67,16.5,
1982-05-26,13.7,16.5,
1982-06-02,13.43,16.5,
1982-06-09,13.6,16.5,
1982-06-16,14.24,16.5,
1982-06-23,14.17,16.5,
1982-06-30,14.81,16.5,
1982-07-07,14.47,16.5,
1982-07-14,13.18,16.5,
1982-07-21,12.14,16.36,
1982-07-28,11.02,16,
1982-08-04,11.15,15.29,
1982-08-11,10.9,15,
1982-08-18,10.11,14.71,
1982-08-25,9.04,13.79,
1982-09-01,10.15,13.5,
1982-09-08,10.14,13.5,
1982-09-15,10.27,13.5,
1982-09-22,10.31,13.5,
1982-09-29,10.12,13.5,
1982-10-06,10.77,13.5,
1982-10-13,9.6,13,
1982-10-20,9.53,12,
1982-10-27,9.44,12,
1982-11-03,9.43,12,
1982-11-10,9.45,12,
1982-11-17,9.61,12,
1982-11-24,8.91,11.79,
1982-12-01,8.69,11.5,
1982-12-08,8.84,11.5,
1982-12-15,8.86,11.5,
1982-12-22,8.69,11.5,
1982-12-29,8.79,11.5,
1983-01-05,10.21,11.5,
1983-01-12,8.42,11.36,
1983-01-19,8.49,11,
1983-01-26,8.44,11,
1983-02-02,8.53,11,
1983-02-09,8.5,11,
1983-02-16,8.62,11,
1983-02-23,8.47,11,
1983-03-02,8.44,10.79,
1983-03-09,8.59,10.5,
1983-03-16,8.57,10.5,
1983-03-23,8.75,10.5,
1983-03-30,8.88,10.5,
1983-04-06,9.43,10.5,
1983-04-13,8.76,10.5,
1983-04-20,8.7,10.5,
1983-04-27,8.58,10.5,
1983-05-04,8.8,10.5,
1983-05-11,8.48,10.5,
1983-05-18,8.59,10.5,
1983-05-25,8.72,10.5,
1983-06-01,8.77,10.5,
1983-06-08,8.84,10.5,
1983-06-15,8.84,10.5,
1983-06-22,9.14,10.5,
1983-06-29,8.9,10.5,
1983-07-06,9.39,10.5,
1983-07-13,9.21,10.5,
1983-07-20,9.43,10.5,
1983-07-27,9.46,10.5,
1983-08-03,9.59,10.5,
1983-08-10,9.66,10.71,
1983-08-17,9.67,11,
1983-08-24,9.41,11,
1983-08-31,9.44,11,
1983-09-07,9.53,11,
1983-09-14,9.54,11,
1983-09-21,9.48,11,
1983-09-28,9.04,11,
1983-10-05,10,11,
1983-10-12,9.46,11,
1983-10-19,9.36,11,
1983-10-26,9.36,11,
1983-11-02,9.4,11,
1983-11-09,9.36,11,
1983-11-16,9.42,11,
1983-11-23,9.26,11,
1983-11-30,9.27,11,
1983-12-07,9.49,11,
1983-12-14,9.52,11,
1983-12-21,9.62,11,
1983-12-28,8.96,11,
1984-01-04,10.06,11,
1984-01-11,9.53,11,
1984-01-18,9.54,11,
1984-01-25,9.53,11,
1984-02-01,9.41,11,
1984-02-08,9.58,11,
1984-02-15,9.53,11,
1984-02-22,9.6,11,
1984-02-29,9.62,11,
1984-03-07,9.74,11,
1984-03-14,9.79,11,
1984-03-21,10.04,11.21,
1984-03-28,9.97,11.5,
1984-04-04,10.41,11.5,
1984-04-11,10.13,12,
1984-04-18,10.37,12,
1984-04-25,9.98,12,
1984-05-02,10.7,12,
1984-05-09,10.46,12.14,
1984-05-16,10.52,12.5,
1984-05-23,9.75,12.5,
1984-05-30,10.3,12.5,
1984-06-06,10.72,12.5,
1984-06-13,10.85,12.5,
1984-06-20,11.49,12.5,
1984-06-27,11.27,12.71,
1984-07-04,10.91,13,
1984-07-11,11.25,13,
1984-07-18,11.21,13,
1984-07-25,11.19,13,
1984-08-01,11.53,13,
1984-08-08,11.59,13,
1984-08-15,11.63,13,
1984-08-22,11.77,13,
1984-08-29,11.5,13,
1984-09-05,11.68,13,
1984-09-12,11.52,13,
1984-09-19,11.46,13,
1984-09-26,10.73,13,
1984-10-03,11.2,12.75,
1984-10-10,10.01,12.75,
1984-10-17,10.22,12.71,
1984-10-24,9.45,12.5,
1984-10-31,9.73,12.29,
1984-11-07,9.87,12,
1984-11-14,9.55,11.79,
1984-11-21,9.47,11.75,
1984-11-28,9,11.68,
1984-12-05,8.83,11.25,
1984-12-12,8.7,11.25,
1984-12-19,7.99,11.25,
1984-12-26,7.95,10.75,
1985-01-02,8.75,10.75,
1985-01-09,8.27,10.75,
1985-01-16,8.23,10.68,
1985-01-23,8.19,10.5,
1985-01-30,8.45,10.5,
1985-02-06,8.59,10.5,
1985-02-13,8.44,10.5,
1985-02-20,8.57,10.5,
1985-02-27,8.4,10.5,
1985-03-06,8.63,10.5,
1985-03-13,8.52,10.5,
1985-03-20,8.75,10.5,
1985-03-27,8.38,10.5,
1985-04-03,8.68,10.5,
1985-04-10,8.45,10.5,
1985-04-17,8.46,10.5,
1985-04-24,7.69,10.5,
1985-05-01,8.35,10.5,
1985-05-08,8.19,10.5,
1985-05-15,8.14,10.5,
1985-05-22,7.91,10.29,
1985-05-29,7.6,10,
1985-06-05,7.75,10,
1985-06-12,7.62,10,
1985-06-19,7.13,9.86,
1985-06-26,7.46,9.5,
1985-07-03,8.06,9.5,
1985-07-10,8.07,9.5,
1985-07-17,7.77,9.5,
1985-07-24,7.88,9.5,
1985-07-31,7.64,9.5,
1985-08-07,7.92,9.5,
1985-08-14,7.88,9.5,
1985-08-21,8.06,9.5,
1985-08-28,7.78,9.5,
1985-09-04,7.88,9.5,
1985-09-11,7.8,9.5,
1985-09-18,7.85,9.5,
1985-09-25,7.96,9.5,
1985-10-02,8.12,9.5,
1985-10-09,7.84,9.5,
1985-10-16,8.03,9.5,
1985-10-23,8.14,9.5,
1985-10-30,7.89,9.5,
1985-11-06,8.3,9.5,
1985-11-13,7.95,9.5,
1985-11-20,8.13,9.5,
1985-11-27,7.71,9.5,
1985-12-04,8.49,9.5,
1985-12-11,8.03,9.5,
1985-12-18,8.05,9.5,
1985-12-25,8.02,9.5,
1986-01-01,9.55,9.5,
1986-01-08,8.2,9.5,
1986-01-15,7.94,9.5,
1986-01-22,7.87,9.5,
1986-01-29,7.83,9.5,
1986-02-05,7.97,9.5,
1986-02-12,7.85,9.5,
1986-02-19,7.84,9.5,
1986-02-26,7.82,9.5,
1986-03-05,7.89,9.5,
1986-03-12,7.52,9.07,
1986-03-19,7.47,9,
1986-03-26,7.25,9,
1986-04-02,7.39,9,
1986-04-09,7.05,9,
1986-04-16,6.97,9,
1986-04-23,6.92,8.79,
1986-04-30,6.88,8.5,
1986-05-07,6.87,8.5,
1986-05-14,6.82,8.5,
1986-05-21,6.87,8.5,
1986-05-28,6.85,8.5,
1986-06-04,6.95,8.5,
1986-06-11,6.89,8.5,
1986-06-18,6.87,8.5,
1986-06-25,6.86,8.5,
1986-07-02,7.02,8.5,
1986-07-09,6.87,8.5,
1986-07-16,6.51,8.07,
1986-07-23,6.42,8,
1986-07-30,6.32,8,
1986-08-06,6.36,8,
1986-08-13,6.31,8,
1986-08-20,6.38,8,
1986-08-27,5.87,7.86,
1986-09-03,5.83,7.5,
1986-09-10,5.82,7.5,
1986-09-17,5.88,7.5,
1986-09-24,5.81,7.5,
1986-10-01,6.08,7.5,
1986-10-08,5.75,7.5,
1986-10-15,5.83,7.5,
1986-10-22,5.91,7.5,
1986-10-29,5.86,7.5,
1986-11-05,6.02,7.5,
1986-11-12,5.98,7.5,
1986-11-19,6.13,7.5,
1986-11-26,6,7.5,
1986-12-03,6.25,7.5,
1986-12-10,5.97,7.5,
1986-12-17,6.3,7.5,
1986-12-24,6.31,7.5,
1986-12-31,9.2,7.5,
1987-01-07,7.62,7.5,
1987-01-14,6.01,7.5,
1987-01-21,6.01,7.5,
1987-01-28,6.13,7.5,
1987-02-04,6.22,7.5,
1987-02-11,6.14,7.5,
1987-02-18,6.21,7.5,
1987-02-25,5.95,7.5,
1987-03-04,6.06,7.5,
1987-03-11,6.12,7.5,
1987-03-18,6.08,7.5,
1987-03-25,6.14,7.5,
1987-04-01,6.21,7.54,
1987-04-08,6.13,7.75,
1987-04-15,6.41,7.75,
1987-04-22,6.26,7.75,
1987-04-29,6.5,7.75,
1987-05-06,7.3,7.96,
1987-05-13,6.75,8,
1987-05-20,6.77,8.21,
1987-05-27,6.8,8.25,
1987-06-03,6.65,8.25,
1987-06-10,6.7,8.25,
1987-06-17,6.75,8.25,
1987-06-24,6.79,8.25,
1987-07-01,6.61,8.25,
1987-07-08,6.64,8.25,
1987-07-15,6.52,8.25,
1987-07-22,6.57,8.25,
1987-07-29,6.63,8.25,
1987-08-05,6.75,8.25,
1987-08-12,6.58,8.25,
1987-08-19,6.74,8.25,
1987-08-26,6.76,8.25,
1987-09-02,6.85,8.25,
1987-09-09,6.95,8.68,
1987-09-16,7.21,8.75,
1987-09-23,7.26,8.75,
1987-09-30,7.56,8.75,
1987-10-07,7.43,8.82,
1987-10-14,7.59,9.25,
1987-10-21,7.37,9.25,
1987-10-28,7.03,9,
1987-11-04,6.43,9,
1987-11-11,6.68,8.75,
1987-11-18,6.77,8.75,
1987-11-25,6.78,8.75,
1987-12-02,6.89,8.75,
1987-12-09,6.84,8.75,
1987-12-16,6.58,8.75,
1987-12-23,6.75,8.75,
1987-12-30,6.81,8.75,
1988-01-06,7.02,8.75,
1988-01-13,6.81,8.75,
1988-01-20,6.89,8.75,
1988-01-27,6.66,8.75,
1988-02-03,6.77,8.68,
1988-02-10,6.38,8.5,
1988-02-17,6.65,8.5,
1988-02-24,6.64,8.5,
1988-03-02,6.6,8.5,
1988-03-09,6.51,8.5,
1988-03-16,6.61,8.5,
1988-03-23,6.51,8.5,
1988-03-30,6.62,8.5,
1988-04-06,6.82,8.5,
1988-04-13,6.81,8.5,
1988-04-20,6.93,8.5,
1988-04-27,6.85,8.5,
1988-05-04,6.82,8.5,
1988-05-11,7.02,8.57,
1988-05-18,7.04,9,
1988-05-25,7.14,9,
1988-06-01,7.41,9,
1988-06-08,7.37,9,
1988-06-15,7.43,9,
1988-06-22,7.54,9,
1988-06-29,7.63,9,
1988-07-06,7.81,9,
1988-07-13,7.59,9,
1988-07-20,7.83,9.5,
1988-07-27,7.8,9.5,
1988-08-03,7.84,9.5,
1988-08-10,7.75,9.5,
1988-08-17,8.19,10,
1988-08-24,8.02,10,
1988-08-31,8.15,10,
1988-09-07,8.15,10,
1988-09-14,8.13,10,
1988-09-21,8.17,10,
1988-09-28,8.24,10,
1988-10-05,8.38,10,
1988-10-12,8.27,10,
1988-10-19,8.27,10,
1988-10-26,8.29,10,
1988-11-02,8.36,10,
1988-11-09,8.31,10,
1988-11-16,8.26,10,
1988-11-23,8.33,10,
1988-11-30,8.44,10.21,
1988-12-07,8.59,10.5,
1988-12-14,8.51,10.5,
1988-12-21,8.87,10.5,
1988-12-28,8.86,10.5,
1989-01-04,9.22,10.5,
1989-01-11,9.08,10.5,
1989-01-18,9.13,10.5,
1989-01-25,9.06,10.5,
1989-02-01,9.16,10.5,
1989-02-08,9.1,10.5,
1989-02-15,9.27,10.93,
1989-02-22,9.39,11,
1989-03-01,9.8,11.43,
1989-03-08,9.83,11.5,
1989-03-15,9.83,11.5,
1989-03-22,9.86,11.5,
1989-03-29,9.88,11.5,
1989-04-05,9.71,11.5,
1989-04-12,9.82,11.5,
1989-04-19,9.95,11.5,
1989-04-26,9.86,11.5,
1989-05-03,9.88,11.5,
1989-05-10,9.86,11.5,
1989-05-17,9.75,11.5,
1989-05-24,9.74,11.5,
1989-05-31,9.84,11.5,
1989-06-07,9.68,11.29,
1989-06-14,9.35,11,
1989-06-21,9.48,11,
1989-06-28,9.58,11,
1989-07-05,9.58,11,
1989-07-12,9.31,11,
1989-07-19,9.24,11,
1989-07-26,9.14,11,
1989-08-02,8.95,10.79,
1989-08-09,8.98,10.5,
1989-08-16,9.04,10.5,
1989-08-23,9.01,10.5,
1989-08-30,8.96,10.5,
1989-09-06,8.96,10.5,
1989-09-13,8.96,10.5,
1989-09-20,9.05,10.5,
1989-09-27,9.02,10.5,
1989-10-04,9.18,10.5,
1989-10-11,8.93,10.5,
1989-10-18,8.76,10.5,
1989-10-25,8.72,10.5,
1989-11-01,8.8,10.5,
1989-11-08,8.69,10.5,
1989-11-15,8.46,10.5,
1989-11-22,8.46,10.5,
1989-11-29,8.51,10.5,
1989-12-06,8.52,10.5,
1989-12-13,8.47,10.5,
1989-12-20,8.52,10.5,
